post_id,author,created_at,likes,reposts,text
at://did:plc:fmnxiz47l623s2u32rn5mt7n/app.bsky.feed.post/3muki2hiq3225,user_046,2026-09-02 17:38:29.066000+00:00,11,0,"On a university campus having a pumpkin spice latte. 

Who even am I?!"
at://did:plc:leovd53mxkwpjnweumtjoplx/app.bsky.feed.post/3mukl7mxhas25,user_092,2026-09-02 18:35:03.800000+00:00,1,0,"Oh no....
When I ordered this giant Pumpkin Spice Latte, I forgot to specify ""Decaf.""
Someone may have to come scrap me off the walls soon."
at://did:plc:xupeee4aouzrwwu2cunpcgnd/app.bsky.feed.post/3muksii7p5c25,user_101,2026-09-02 20:45:17.009000+00:00,4,0,"Well, it IS Pumpkin spice latte season. 🎃"
at://did:plc:r4n3d6s2oaq3vtlkiqr56ici/app.bsky.feed.post/3mukvu3pyhk2z,user_018,2026-09-02 21:45:27.781000+00:00,50,10,Tori Amos invented the pumpkin spice latte.
at://did:plc:erexxh2dq2grcl7kcein2uni/app.bsky.feed.post/3mukxs2mvms2f,user_144,2026-09-02 22:20:07.013000+00:00,8,0,"Oh no, I fell for the trap

Pumpkin spice latte is actually pretty good"
at://did:plc:vvoxpunt5756k37hj4jbpgpa/app.bsky.feed.post/3mukz667z7k2j,user_031,2026-09-02 22:44:47.183000+00:00,3,1,"Oft Spice Pumpkin baristana þrēatum, monegum mǣgðum latte-setla oftēah."
at://did:plc:rgjvi3lxhytyzya6jywrywso/app.bsky.feed.post/3mul353h2d227,user_020,2026-09-02 23:19:58.197000+00:00,1,0,"I just learned ""PSL"" is slang for pumpkin spice latte ☕️"
at://did:plc:4nyj3vhlyc5czsfp4engy2se/app.bsky.feed.post/3mul4bctdck2x,user_116,2026-09-02 23:40:13.897000+00:00,337,80,"It's September, which means that soon it will be time to enjoy the cooler weather while watching the leaves fall, sipping on your pumpkin spice latte (or another hot beverage of choice).

12 slots, $140 each, done by September 22nd.

forms.gle/SFeKnhzshHrV..."
at://did:plc:y7lozczgkezewubqhhva56jy/app.bsky.feed.post/3mulai5y37s2d,user_041,2026-09-03 00:55:38.659000+00:00,1,0,My cupboard may have very recently acquired 2 boxes of 3 pack Krusteaz pumpkin spice multi-purpose baking mix. It needs to stop being balls hot before I indulge in a latte. I love them but not enough to give myself a hot flash.
at://did:plc:p66g6l6576j2zusnwozr3fmz/app.bsky.feed.post/3mulazuhxyk2c,user_087,2026-09-03 01:05:32.674000+00:00,2,0,"My idea of a pumpkin spice latte:
Cinnamon, ginger, nutmeg, cloves, allspice, and optionally a thai chili, simmered in milk until flavorful. Strain, add honey & pumpkin puree to taste, mix/froth, and pour over 2 shots of espresso or however much coffee you like. Im no barista but its tasty imo :P"
at://did:plc:ht4kpqcjklc7rhmztshiuj42/app.bsky.feed.post/3mulntp2l2c2l,user_118,2026-09-03 04:54:44.297000+00:00,1,1,Pumpkin spice latte. I want it freezing though.
